序号,人群,问题分类,问题名称,原理,方法名称,三字经,方法详情,附件,老年人-适用时间段,高精质-适用时间段,未孕女性-适用时间段,备孕女性-适用时间段,待产女性-适用时间段,产后女性-适用时间段,已育女性-适用时间段
129,,皮肤,皮肤暗黄,\t及时防晒，减少色素沉积。,及时防晒,要防晒，好习惯，防沉积，更养颜。,\t养成出门擦防晒霜的好习惯。,/photo/fangshai.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
130,,皮肤,皮肤暗黄,\t夜间是身体排毒的时间，睡的越晚，排毒的效果越差，体内的垃圾得不到及时有效的清理，就会造成皮肤暗黄发暗。,注意休息,多休息，要规律，能排毒，更养颜。,\t在晚上十点之前上床睡觉，最晚不得超过十二点。,,睡眠,睡眠,睡眠,睡眠,睡眠,睡眠,睡眠
131,,皮肤,皮肤暗黄,\t午间小睡可以让大脑和身体得到双重的休整，让我们气色更好，一天精力更充沛。,午睡,中午时，要午睡，复精力，养气色。,\t需要提醒的是，如果在工位上休息，最好关闭电脑，以杜绝辐射。,/photo/wuxiu.jpg,午睡,午睡,午睡,午睡,午睡,午睡,午睡
132,,皮肤,皮肤暗黄,\t红葡萄酒含有丰富的多种矿物质、富含抗氧化的多酚、预防动脉硬化和心脏病、改善手脚冰凉等冷虚症、维C滋润肌肤、明目。,睡前做红葡萄酒面膜,葡萄酒，做面膜，防硬化，更滋养。,\t1、具体方法：把红葡萄酒均匀地洒在一次性面膜布上，然后在脸上敷5分钟(敏感肌肤除外)。\n\t2、每天晚上临睡前做一次这样的美容功课，你会发现自己的脸色真的红润了。,/photo/hongjiu.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
133,,皮肤,皮肤暗黄,\t紫外线照射引起脸色发黄：紫外线是皮肤老化的主要杀手，它会让纹理混乱、血液循环不畅、黑色素积聚，使皮肤暗黄。,涂防晒霜,出门后，防晒霜，阻日光，防老化。,\t无论室内室外，都应该注意涂抹带防晒指数的隔离或防晒霜，且防晒指数PA值(防护UVA的能力)及用量也要足够才行。,/photo/fangshaishuang.jpg,,,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
134,,皮肤,皮肤暗黄,\t紫外线照射引起脸色发黄：紫外线是皮肤老化的主要杀手，它会让纹理混乱、血液循环不畅、黑色素积聚，使皮肤暗黄。,使用遮阳伞,出门后，防晒霜，阻日光，防老化。,\t最好使用带有黑胶涂层的遮阳伞，太薄的防晒服防晒效果也不好，应选择不透光、面料结构紧密的产品。,/photo/zheyangsan.png,,,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
135,,皮肤,皮肤暗黄,\t如果皮肤缺水，那你使用任何美白产品都是在浪费钱。肌肤水油失衡、皮肤活力差、角质层过厚都会阻碍皮肤吸收养分，美白产品很难起作用。,补水保湿,皮肤上，需保湿，平水油，保养分。,\t先去角质，并做好保湿工作。,/photo/bushuibaoshi.jpg,,,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
136,,皮肤,皮肤暗黄,\t艾叶熏脐具有温经散寒、改善气色的效用。,艾叶熏脐,用艾叶，来熏脐，驱寒气，养气色。,"\t1.第一种方法，直接手持，最好使用大艾条，进行艾条悬起温和灸，也就是用手直接拿着艾条，让艾条点燃的一端对着脐部慢慢的燻烤施灸，灸的时候，可以打着圈的来灸，脐正中，脐周围都可以灸到。\n\t2.第二种方法，隔物灸，所隔的物可以是盐、蒜、姜等,这里值得提出的是，隔物灸与着肤灸一样，都应该用比较好的艾绒。\n\t3.不管用哪种方法，每次施灸15～20分钟为宜，每天灸1次，连灸10次，也就是10天为一个疗程。",/photo/fabb8a5639e947318e400d92db96bf97.png,,,睡前,睡前,,,睡前
137,,皮肤,皮肤暗黄,\t药物引起的脸色发黄：长期服用带有黄色素的药物，如阿的平、呋喃类等也可使皮肤变黄。,遵医嘱，勿过量服药,遵医嘱，来服药，养气色，更健康。,\t服用此类药物时，一定要严格按照医嘱服药。,/photo/1460519868921188.jpg,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
138,,皮肤,皮肤暗黄,\t清肝火，疏通肝气。血液循环不良引起的脸色发黄：肝直接影响血脉，肝火旺或肝气郁结便易形成气血不通，影响面部的血液循环，皮肤自然暗淡无光。,保证充足、高质量的睡眠,保睡眠，要充足，清肝火，通肝气。,\t尽量避免长期熬夜、睡眠不足，保证充足的睡眠和休息时间。,/photo/baozhengshuimian.jpg,睡眠,睡眠,睡眠,睡眠,睡眠,睡眠,睡眠
139,,皮肤,皮肤暗黄,\t体内毒素积累引起的脸色发黄：在新陈代谢正常的情况下，食物经肠道消化吸收，废物一般可在24小时内排出体外。但疲劳、紧张等原因，会导致人体出现代谢功能紊乱，致使残余废物在肠内腐败，产生毒素。这些毒素经结肠再次吸收，由血液循环进入人体的不同器官，引发各种疾病，出现记忆力衰退、疲劳、面色灰黄、便秘、痔疮、肥胖等症状。,保持心情舒畅，注意劳逸结合,好心情，益处大，促代谢，更排毒。,\t正确面对工作和生活中的问题，不要过分紧张、急躁。注意身体，不要过分劳累。,/photo/20160312153040_58996.jpg,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2
140,,皮肤,皮肤暗黄,\t色素积聚引起的脸色发黄：色素没有有效地清除，长期聚积引起皮肤发黄。,使用足量的洁面产品,清色素，防聚集，更养颜，保肌肤。,\t无泡洁面和泡沫洁面：两类产品针对不同肤质，都可以洗得很干净，共通之处是要用到足够的量，才能将脏东西走。,"/photo/u=3536492934,282529232&fm=214&gp=0.jpg",洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,,,洗漱更衣
141,,皮肤,皮肤暗黄,\t色素积聚引起的脸色发黄：色素没有有效地清除，长期聚积引起皮肤发黄。,延长洁面时间,清色素，防聚集，更养颜，保肌肤。,\t在手法正确的前提下，适当延长洁面时间能洗得更干净，毛孔深处的污渍需要足够时间清洁。,/photo/10285815_314859.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,,,洗漱更衣
142,,皮肤,皮肤暗黄,\t色素积聚引起的脸色发黄：色素没有有效地清除，长期聚积引起皮肤发黄。,正确使用吸盘洁面,清色素，防聚集，更养颜，保肌肤。,\t对于要求特殊手法的产品，比如吸盘洁面，重点在于吸出毛孔中污垢的按压手法，一定要按照产品说明书要求，才能发挥效用。,/photo/561606d7Ne712ab52.jpg!q70.jpg,,,洗漱更衣,洗漱更衣,,,洗漱更衣
143,,皮肤,皮肤暗黄,\t皮脂油腻引起的脸色发黄：堆积在皮肤表面的油腻、老旧角质及污垢如不被及时清除掉将会引起皮肤发黄。,注意皮肤清洁,要洗脸，防油腻，去皮脂，更养颜。,\t养成每日早、晚洗脸的好习惯。,/photo/qingjiepifu.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
144,,皮肤,皮肤暗黄,\t化学物质过敏引起的脸色黄：品质低劣的护肤品中含有的铅、汞等有害化学物质，亦可令肤色变黄变深。,不要使用品质低劣的化妆品,化妆品，忌低廉，防过敏，更养颜。,\t购买正规、有品质保障的化妆品。,/photo/2015514105052.jpg,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2
145,,皮肤,皮肤暗黄,\t长期熬夜、睡眠不足引起脸色发黄：因熬夜而没有足够的时间睡眠，肝胆就得不到充分的休息，可表现为皮肤粗糙、黑斑、面色发黄等。,作息规律、不熬夜,按时睡，要规律，养肝胆，更养颜。,\t保持规律的作息习惯，晚上尽量不熬夜。,/photo/003t35oFzy6Pe5Dgk1jf1&690.jpg,睡眠,睡眠,睡眠,睡眠,睡眠,睡眠,睡眠
146,,皮肤,皮肤暗黄,\t缺乏运动引起的面色黄：长期缺乏运动，身体及肌肤的循环代谢减慢，导致体内囤积过多的废物废气。,适量运动排出体内代谢废物,需运动，要适度，促循环，排毒物。,\t注意锻炼身体，保持适当的运动强度。,/photo/0040110599.jpg,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2
147,,皮肤,皱纹,\t高枕导致睡觉姿势扭曲，也可能会导致颈纹产生。,睡觉不用枕头,睡觉时，不用枕，去颈纹，更美丽。,\t建议睡觉时不用枕头，或者枕头的形状能保证头部低于脖子，下巴微微抬起。,/photo/zhentou.jpg,睡眠,睡眠,睡眠,睡眠,睡眠,睡眠,睡眠
148,,皮肤,皱纹,\t颈霜可以让脖子变得光滑润泽，去除皱纹。,睡前涂颈霜,睡觉前，涂颈霜，保光滑，去皱纹。,\t睡觉前，在脖子上涂护肤霜，再用毛巾裹住，也有助于预防颈纹。,/photo/jingshuang.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
149,,皮肤,皱纹,\t紫外线会引起或加剧颈部皮肤老化。,颈部涂防晒霜,在颈部，需防晒，防晒霜，防老化。,\t平日颈部也需要涂上润肤霜及防晒品。,/photo/fangshai.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
150,,皮肤,皱纹,\t脖子处的角质导致皱纹的出现。,定期去角质,脖颈处，去角质，更清洁，防皱纹。,\t1、选择性质比较温和的面部去角质产品，身体去角质产品用在颈部则要谨慎，因为它的颗粒较大，容易伤害颈部脆弱皮肤，要选用颗粒极细腻的才可以。\n\t2、以螺旋的方式由下往上按摩，颈部靠近耳后的部分，也要彻底清洁，然后以清水洗净。\n\t3、每周1-2次。,/photo/jingqujiaozhi.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
151,,皮肤,皱纹,\t颈膜中的精华可渗透至肌肤底层，达到补湿、舒缓及抗皱的作用。,睡前敷颈膜,睡觉前，敷颈膜，更补湿，缓皱纹。,\t也可以以面膜或面膜布代替，但注意的是，颈部皮肤较松软，一定不要使用撕拉式颈膜，否则会把皮肤拉得更松。,/photo/jingmo.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
152,,皮肤,皱纹,\t用按摩膏按摩，有助于减少颈部皱纹。,睡前用按摩膏按摩,睡觉前，按摩膏，来按摩，防皱纹。,\t 入睡之前，往颈部涂抹适量的按摩膏，轻轻按摩5分钟左右，有助于减少颈纹。,/photo/anmogao.jpg,睡前,睡前,睡前,睡前,睡前,睡前,睡前
153,,皮肤,皮肤干裂,\t洗澡过多或过少对皮肤都不利，要根据自己的情况酌情处理。,把握洗澡频率,洗澡时，要适度，按需求，更养肤。,\t1、干性皮肤的人不要频繁洗澡，以免将体表分泌的油脂保护膜破坏掉。\n\t2、皮脂腺分泌少的老年人一周洗一两次即可。,/photo/xizao1.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
154,,皮肤,皮肤干裂,\t每个人的皮肤情况不同，要选择最适合自己的用品。,选对护肤品,护肤品，安需选，更适合，才养颜。,\t1、油性皮肤的人尽量不选油性很大的护肤品，以免阻塞毛孔，导致脂肪粒、粉刺的出现，可使用含水量高的清爽型乳液或保湿露。\n\t2、但是对于末梢循环不佳、已经出现干裂的部位，要使用含油量较大的护肤品。,/photo/hufupin.jpg,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2,主任务2
155,,皮肤,皮肤干裂,\t每个人的皮肤情况不同，要选择最适合自己的用品。,根据皮肤状况选择沐浴用品,护肤品，安需选，更适合，才养颜。,\t1、油性皮肤或者运动后污垢较多的人，可以选择清洁力较强的香皂；\n\t2、皮肤容易干燥的人最好选择有滋养成分的沐浴露，并且在沐浴后及时涂抹身体润肤霜。,/photo/muyulu.png,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1,主任务1
156,,皮肤,皮肤干裂,\t颈霜可以改善脖子皮肤干燥的情况，让脖子变得光滑润泽。,使用颈霜,用颈霜，防干裂，更光滑，保润泽。,\t1、如果脖子皮肤干燥粗糙的话，每天先用化妆水拍打脖子皮肤，稍加滋润后，就涂上颈霜，边抹匀边按摩，让皮肤充分吸收。\n\t2、每天早晚如此使用颈霜。,/photo/jingshuang.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
157,,皮肤,皮肤干裂,\t颈膜为脖子皮肤补充营养和水分，充分滋养脖子皮肤。,使用颈膜,用颈膜，不营养，饱水分，更滋养。,\t1、每周使用两到三次颈膜。\n\t2、每次敷完颈膜以后，再使用颈霜保湿，这样脖子皮肤变得水润也是指日可待。,/photo/jingmo.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
158,,皮肤,皮肤干裂,\t脖子皮肤干燥粗糙有时是因为角质堆积补水补不进导致的。,去角质,去角质，更补水，保湿润，防干燥。,\t1、用清水洗干净颈部肌肤后，将磨砂膏涂在脖子上轻轻的按摩，将多余的老废角质去除，然后使用颈膜颈霜的效果就会大大提高。\n\t2、去角质的次数不宜太多，尤其是脖子皮肤比较薄，两周左右一次就好了。,/photo/jingbuqujiaozhi.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
159,,胸部,平胸,\t胸罩不可过松或过紧，如果胸罩太大，起不到支托乳房的作用，而太小会妨碍乳房的发育。,正确穿戴胸罩,穿胸罩，学问大，要注意，养胸部。,\t合适的胸罩尺寸是测量自己的底胸围，即用软皮尺沿两侧乳房下缘一周测量。,/photo/xiongzhao.jpg,,,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣
160,,胸部,平胸,\t不规律生活对于胸腺发育有很大的阻碍作用。足够的休息时间能够很好养生，为丰胸提供了很好的保证。,睡眠时间充足,按时睡，要规律，养乳腺，更丰胸。,\t每天最好有8～10小时的睡眠。,/photo/shuimiannv.jpg,,,睡眠,睡眠,睡眠,睡眠,睡眠
161,,胸部,平胸,\t乳房热敷有利于促进性腺的分泌，促进乳腺的发育，使乳房丰满挺拔。,乳房热敷,来热敷，养乳腺，促发育，更丰满。,\t每天晚上临睡前，用热毛巾对乳房进行3-5分钟的热敷，之后用双手按摩两个乳房,/photo/maojinrefu.jpg,,,睡前,睡前,睡前,睡前,睡前
162,,胸部,平胸,\t保持正确的坐姿不仅仅是对胸部，对女性的体态也是很有效的矫正方法。,挺腰直身端坐,正坐姿，养胸部，塑体态，更美丽。,\t坐下时尽量将胸部挺起，而不要放松腹部令胸部下垂。,/photo/duanzuo.jpg,,,主任务1,主任务1,主任务1,主任务1,主任务1
163,,胸部,平胸,\t温水冲洗胸部能促进胸腺发育，刺激血液循环。不仅能保持清洁，还能增加胸部的柔韧性，预防下垂。,沐浴健胸,用温水，来冲胸，促循环，防下垂。,\t沐浴时以莲蓬头冲洗胸部，使用温水，每次至少冲洗1分钟,/photo/2013032701244489b01.jpg,,,睡前,睡前,睡前,睡前,睡前
164,,整体,减肥塑形,\t粗盐有发汗的作用，它可以排出体内的废物和多余的水分，促进皮肤的新陈代谢，还可以软化污垢、补充盐分和矿物质，使肌肤细致、紧绷。,粗盐减肥法　　,用粗盐，可减肥，拍废物，促代谢。,\t1、每次洗澡前，取一杯粗盐加上少许热水拌成糊状，再把它涂在腹部。\n\t2、10分钟后，用热水把粗盐冲洗干净，也可以按摩后再冲掉，然后就可以开始洗澡了。或者，在洗完澡后，在手掌上撒一大匙粗盐，直接按摩腹部，搓时不要太用劲，以免把皮肤搓得更粗糙。如果肌肤敏感，改用细盐。,/photo/cuyan.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
165,,整体,减肥塑形,\t脂肪在零下15度是会以游离的状态存在，此时更利于减肥。洗澡可以去除肌肤间的污垢，而且身体能够得到适当的按摩，促进血液循环，提高身体代谢率。,少衣多浴,多洗澡，去污垢，促循环，提代谢。,\t1、当冬季来临时不要穿得太暖和，最好是衣着仅仅及暖便可。\n\t2、经常洗澡。,/photo/xizao1.jpg,洗漱更衣,洗漱更衣,洗漱更衣,洗漱更衣,,洗漱更衣,洗漱更衣
166,,整体,减肥塑形,\t少吃多餐可以快速提高身体的代谢率以及对热量的需求。,少吃多餐,多进餐，少用食，促代谢，更减肥。,\t每隔几小时进食一餐，而一餐可以仅仅是一碗汤或者一个苹果。,/photo/pingguo.jpg,主任务1,主任务1,主任务1,主任务1,,主任务1,主任务1
167,,整体,减肥塑形,\t盘中食物会产生视觉冲击，让我们注意到吃下去多少食物。而从包装中取食，则会让人不知不觉地吃下更多。装盘还可以量化食物，吃完就停。,食物总放在盘子上,装食物，用盘子，冲视觉，易少食。,\t无论吃啥，不要直接从包装中取食物，或将食物连包装带到沙发上吃，最好将食物倒在盘子上。,/photo/panzi.jpg,主任务2,主任务2,主任务2,主任务2,,主任务2,主任务2
168,,整体,减肥塑形,\t喝水能增加新陈代谢水平，帮助身体消耗更多的热量。,喝水减肥,多喝水，促代谢，耗热量，更减肥。,\t1、在办公桌上放瓶水。当你想吃甜食或者其它零食的时候，适当地喝一点水，便可以减轻进食的欲望。\n\t2、当有压力的时候也不要寄情于吃食，可以多散步，用正确的方法释放压力。,/photo/shui.jpg,主任务1,主任务1,主任务1,主任务1,,主任务1,主任务1
169,,整体,减肥塑形,\t捧腹大笑其实也是和胃打招呼的一个表现，大笑能够锻炼胃部肌肉。如果你有一个更加苗条、更加迷人的胃，那么离减肥成功也就不远了。,多些笑声,多笑笑，练胃部，促减肥，更苗条。,\t每天大笑至少10分钟，能够增加胃部肌肉的运动能力，调节好饮食，你就能苗条很久了。,/photo/xiao.gif,主任务2,主任务2,主任务2,主任务2,,主任务2,主任务2
170,,整体,减肥塑形,\t泡澡能够促进血液循环并强化新陈代谢，能够很好的消耗脂肪，可以起到减肥修身的作用。,多泡澡,多泡澡，促循环，强代谢，更修身。,\t平常的话每周三次左右。,/photo/xizao1.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
171,,整体,减肥塑形,\t足浴能够促进血液循环并强化新陈代谢，能够很好的消耗脂肪，可以起到减肥修身的作用。,多做足浴,来足浴，促循环，强代谢，更修身。,\t平常的话每周三次左右。,/photo/reshuipaojiao.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
172,,整体,减肥塑形,\t电视吃薯片等零食是很多年轻人喜欢做的事情，那么如果你有这个坏习惯还想要翘臀的话就尽早改掉吧！继续沙发土豆的后果不仅是身体越来越差，臀部肥肉也会越来越多的。,改变沙发土豆的习惯,看电视，少零食，多起身，做运动。,\t看电视的时候起来走走，别窝在沙发里，摇摇呼啦圈或者做做运动。,/photo/shafatudou.png,睡前,睡前,睡前,睡前,,睡前,睡前
173,,整体,减肥塑形,\t充足高质量的睡眠，可以减少热量摄入和脂肪囤积。,作息时间规律,按时睡，要规律，减热量，去脂肪。,\t作息时间一定要调整好，而且一定要规律。不管是上班还是休息，一定要养成按时作息的好习惯。,/photo/zuoxiguilv.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
174,,整体,减肥塑形,\t充足高质量的睡眠，可以减少热量摄入和脂肪囤积。,睡前不吃东西,按时睡，要规律，减热量，去脂肪。,\t1、晚餐最好是睡前4个小时吃。除了晚餐，最好不要吃夜宵。\n\t2、睡前大吃大喝向来是减肥的大忌，水也要少喝。\n\t3、除此之外，一些坏习惯也要改改，比如上网看电视时喜欢吃东西，这是很容易堆积脂肪的，而且入睡前吃掉太多东西，很容易让人兴奋，更加不容易睡眠，这会直接影响到睡眠减肥的效果哦!,/photo/shuiqianbuchidongxi.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
175,,整体,减肥塑形,\t充足高质量的睡眠，可以减少热量摄入和脂肪囤积。,增加睡眠时间,按时睡，要规律，减热量，去脂肪。,\t每天早点把当天的事情完成，早点入睡。这样就可以获得更多的睡觉时候，长期以往，就可以获得更多的睡觉时间，从而让你达到减肥的效果。,/photo/zuoxiguilv.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
176,,整体,减肥塑形,\t生活中如果经常弯腰驼背，会令斜方肌、三角肌和三头肌处于松弛状态，久而久之这个部位的脂肪就会增多，形成难看的拜拜肉。,纠正错误坐姿,调坐姿，要正确，去脂肪，更修身。,\t1、正确做法：应随时保持昂首挺胸，坐的时候上半身应保持颈部直立，使头部获得支撑，两肩自然下垂，上臂贴近身体，手肘弯曲呈90度。\n\t2、操作键盘或滑鼠，尽量使手腕保持水平姿势，手掌中线与前臂中线，应保持一直线。\n\t3、下半身腰部挺直，膝盖自然弯曲呈90度，并维持双脚着地的坐姿。,/photo/zuoruzhong.jpg,主任务1,主任务1,主任务1,主任务1,,主任务1,主任务1
177,,整体,减肥塑形,\t如果经常搬重物，比如做农活或家务活，手臂因用力过度，日子久了手臂会长出健硕粗壮的肌肉块。,减少长时间搬重物,搬重物，要少做，修手臂，更美丽。,\t1、建议减少长时间搬重物。\n\t2、如果提重物很多，回家后热敷、揉按，帮助放松肌肉。,/photo/zhongtililaodong.jpg,主任务2,主任务2,主任务2,主任务2,,主任务2,主任务2
178,,整体,减肥塑形,\t使用精油消除臂部蜂窝组织内的毒素，排出手臂处多余水分和废物，紧致肌肉。,柠檬茴香瘦手臂按摩油,用精油，除毒素，拍废物，紧肌肉。,\t1、材料：柠檬精油、茴香精油各4滴，橄榄油25毫升。\n\t2、将橄榄油倒人瓶中，依次滴人柠檬精油和茴香精油，混合均匀即可。将按摩油均匀涂抹于臂部，从下至上、以扭拧的方式按摩臂部，以臂部稍发热为佳。,/photo/jingyou.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
179,,整体,减肥塑形,\t使用精油消除臂部蜂窝组织内的毒素，排出手臂处多余水分和废物，紧致肌肉。,天竺葵瘦手臂按摩油,用精油，除毒素，拍废物，紧肌肉。,"\t1、材料：天竺葵精油8滴，橄榄油25毫升。\n\t2、做法：25毫升橄榄油倒入深蓝色玻璃瓶中，滴入天竺葵精油，摇晃均匀即可。\n\t3、用法：将按摩油均匀涂抹于臂部，从下至上、以扭拧的方式按摩臂部，以臂部稍
发热为佳。",/photo/jingyou.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
180,,整体,减肥塑形,\t使用精油消除臂部蜂窝组织内的毒素，排出手臂处多余水分和废物，紧致肌肉。,丝柏甜杏仁按摩油,涂精油，排毒素，排水分，紧肌肉,\t1、材料：丝柏精油3滴，杜松精油2滴，甜杏仁精油5毫升。\n\t2、做法：往甜杏仁精油中依次滴入丝柏精油和杜松精油，搅拌均匀即可。\n\t3、用法：涂抹在颈肩部位按摩。\n\t4、功效：加速肥胖部位脂肪的溶解速度，紧致肌肤。,/photo/jingyou.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
181,,整体,减肥塑形,\t泡脚加速脚部新陈代谢，排出积聚在体内的废物及水分。,热水泡脚,常泡脚，促代谢，排废物，排水分,\t睡前泡脚时间不宜超过30分钟。,/photo/reshuipaojiao.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
182,,整体,减肥塑形,\t对肌肤刺激作用很大的外用产品会改变肌肤细胞的新陈代谢状况，还会影响毛孔呼吸和毛细血管的血液循环。,减少腿部肌肤刺激,减外用，少刺激，护细胞，促循环,\t想瘦腿进行按摩是可以的，但应该尽量减少外用产品对腿部的刺激。,/photo/shoutuigao.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
183,,整体,减肥塑形,\t经常活动腿部，改变腿部受力的方向和力度，对改善腿部血液循环舒缓水肿很有帮助。,多动腿,活动退，改受力，调循环，去水肿,\t时常更换坐姿或站姿，不久坐，不久站。,/photo/bujiuzuo.jpg,主任务2,主任务2,主任务2,主任务2,,主任务2,主任务2
184,,整体,减肥塑形,\t踮脚尖时在脚尖与地面的接触点是涌泉穴，刺激这个穴位对全身血液循环都有很好的带动作用。,踮脚尖走路,踮脚尖，涌泉穴，刺穴位，促循环,\t1、踮脚尖的方法是：双脚并拢，抬起脚跟，脚尖着地，保持1分钟左右，再放下脚跟，反复进行几次。\n\t2、工作间隙，可以抬起脚跟走路，每次走上3~5分钟，休息一会儿，再反复多做几次，速度以自己感觉舒适为宜。\n\t3、实在是很繁忙的时候，也可以在坐着的时候踮起脚尖，保持大腿和小腿呈垂直状态，也可以在大腿上放一本书，以加大力度。,/photo/dianjiaojian.jpg,主任务1,主任务1,主任务1,主任务1,,主任务1,主任务1
185,,整体,减肥塑形,\t按摩可促进局部肌肤血液循环，使大腿更紧实。,咖啡粉瘦腿,常按摩，促循环，护皮肤，瘦大腿,\t将未煮过的咖啡粉调和按摩油，以螺旋状轻轻按摩大腿和臀部。,/photo/kafeifen.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
186,,整体,减肥塑形,\t粗盐可以刺激人体发汗，帮助排除体内多余的水分，促进皮肤的新陈代谢，排除体内废物。,粗盐瘦腿法,洗澡前，涂粗盐，促代谢，排废物,\t1、每天洗澡前，取一杯粗盐加上少许的热水拌成糊状，涂在大腿上，只要涂在身上盐不脱落就可以了。\n\t2、10分钟后，用热水把粗盐冲洗干净，也可以在涂抹上之后做些按摩，然后再用水重洗干净即可。\n\t3、可以使用一般的粗盐，也可以用商店中出售的沐浴盐，粗盐瘦腿法对于不喜欢运动的美眉们来说非常适合。,/photo/cuyan.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
187,,整体,减肥塑形,\t经常穿高跟鞋，使小腿承受了过重的重量，腿部受力开始外移，造成小腿肌肉越来越外翻，导致小腿变粗。,改变鞋跟的高度拉伸小腿肌肉,高跟鞋，常承重，勤换鞋，瘦小腿,\t如平时穿低跟鞋走路的人换上高跟鞋，平时穿高跟鞋的走路人换上低跟鞋。,/photo/gaogenxie.jpg,,,洗漱更衣,洗漱更衣,,洗漱更衣,洗漱更衣
188,,整体,减肥塑形,\t不正确的走路姿势，使小腿承受了过重的重量，腿部受力开始外移，造成小腿肌肉越来越外翻，导致小腿变粗。,改变走路的姿势,走姿错，小腿弱，勤矫正，瘦小腿,\t走路时，将身体的重量平均分摊于脚跟的部分，避免让小腿承担过多的重量。,/photo/zouluzishi.gif,主任务1,主任务1,主任务1,主任务1,,主任务1,主任务1
189,,整体,减肥塑形,\t泡脚加速脚部新陈代谢，排出积聚在体内的废物及水分。,临睡泡脚,临睡前，常泡脚，排废物，排水分,\t睡前泡脚时间不宜超过30分钟。,/photo/reshuipaojiao.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
190,,整体,减肥塑形,\t踮脚尖时在脚尖与地面的接触点是涌泉穴，刺激这个穴位对全身血液循环都有很好的带动作用。,在椅子上坐的时候踮脚尖,踮脚尖，涌泉穴，刺穴位，促循环,\t坐椅子的时候，把脚尖翘起来，保持大腿和小腿呈垂直状态，也可以在大腿上放一本书，以加大力度。,/photo/zuozhedianjiao.jpg,主任务2,主任务2,主任务2,主任务2,,主任务2,主任务2
191,,整体,减肥塑形,\t粗盐可以刺激人体发汗，帮助排除体内多余的水分，促进皮肤的新陈代谢，排除体内废物。,粗盐瘦腿法,洗澡前，涂粗盐，促代谢，排废物,\t1、每天洗澡前，取一杯粗盐加上少许的热水拌成糊状，涂在小腿上，只要涂在身上盐不脱落就可以了。\n\t2、10分钟后，用热水把粗盐冲洗干净，也可以在涂抹上之后做些按摩，然后再用水重洗干净即可。\n\t3、可以使用一般的粗盐，也可以用商店中出售的沐浴盐，粗盐瘦腿法对于不喜欢运动的美眉们来说非常适合。,/photo/cuyan.jpg,睡前,睡前,睡前,睡前,,睡前,睡前
