序号,人群,问题分类,问题名称,原理,方法名称,三字经,方法详情,附件,老年人适用时间段,高精质适用时间段,未孕女性适用时间段,"备孕女性
适用时间段","待产女性
适用时间段","产后女性
适用时间段","已育女性
适用时间段"
328,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,涂鸦,多活动，常积累，变积极，排消极。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,,,,休闲2,,,
329,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,看电影,多活动，常积累，变积极，排消极。,\t电影能牵动人的情绪，其中的情节可令人产生共鸣，甚至能帮助人解开心中的郁结，疗愈一直隐藏在心底的创伤。,/photo/kandianying1.jpg,,,,休闲3,,,
330,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,郊游,多活动，常积累，变积极，排消极。,\t在大自然的怀抱里享受自然的山水风光，领略自然界的美景，必然能使心胸开阔，舒畅坦荡。,/photo/jiaoyou.jpg,,,,休闲1（周末）,,,
331,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,做手工,多活动，常积累，变积极，排消极。,\t在做手工时需要聚精会神、专心致志，可排除杂念和消除不良情绪，净化人的心灵，产生愉悦、乐观的精神状态。,/photo/zuoshougong1.jpg,,,,休闲4,,,
332,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,跳舞,多活动，常积累，变积极，排消极。,\t轻松的舞步，矫健的动作，愉快的音乐，能使人心旷神怡，也是一种美的享受。,/photo/tiaowu.jpg,,,,休闲3,,,
333,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,摄影,多活动，常积累，变积极，排消极。,\t摄影一种最放松的全身运动，既锻炼了身体又培养了兴趣，让你对外面的世界充满好奇，保持旺盛的生命力。,/photo/shexiangji.jpg,,,,休闲1（周末）,,,
334,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,垂钓,多活动，常积累，变积极，排消极。,\t垂钓时，意识完全潜没在鱼漂的一抖一动的意境之中。这时，人的心跳搏动最正常，血压最稳定。只有一小部分的脑神经在运动，大部分脑神经则得到充分休息。这就起到了调节、放松、消除疲劳的作用。,/photo/chuidiao.jpg,,,,休闲2（周末）,,,
335,,精神,自卑感,\t休闲运动能帮助我们在娱乐的同时达到运动的效果，坚持锻炼，不仅能强身健体、纤体塑形、排毒养颜，还能增强自信，培养乐观积极的情绪状态。,骑马,常运动，强身体，心情悦，增信心。,\t骑马10分钟等于按摩10万次，骑马半小时，相当于打一整场激烈的篮球赛所消耗的体能。这种高雅的运动还可以缓解内在的孤独和压抑的情绪，愉悦身心，使人获得极强的成就感。,/photo/qima.jpg,,,,休闲1（周末）,,,
336,,精神,自卑感,\t休闲运动能帮助我们在娱乐的同时达到运动的效果，坚持锻炼，不仅能强身健体、纤体塑形、排毒养颜，还能增强自信，培养乐观积极的情绪状态。,游泳,常运动，强身体，心情悦，增信心。,\t一旦进入水中，就一心一意享受着水带来的乐趣，将一切烦恼抛到一边，会感到情绪高涨、精力充沛。,/photo/youyong.jpg,,,,休闲2,,,
337,,精神,自卑感,\t休闲运动能帮助我们在娱乐的同时达到运动的效果，坚持锻炼，不仅能强身健体、纤体塑形、排毒养颜，还能增强自信，培养乐观积极的情绪状态。,爬楼梯,常运动，强身体，心情悦，增信心。,\t上下爬楼梯10分钟是良好的护心运动，可改善心肌血液循环，恢复心脏活力，浑身更有劲，提神醒脑，释放压力，放松心情。,/photo/palouti.jpg,,,,休闲1,,,
338,,精神,自卑感,\t休闲运动能帮助我们在娱乐的同时达到运动的效果，坚持锻炼，不仅能强身健体、纤体塑形、排毒养颜，还能增强自信，培养乐观积极的情绪状态。,逛街,常运动，强身体，心情悦，增信心。,\t逛街是一种很好的有氧运动，即让你在你不知不觉中锻炼了身体，又愉悦了心情。,/photo/guangjie.jpg,,,,休闲3,,,
339,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,摄影,陶性情，消抑郁，心愉悦，燃热情。,\t摄影不仅能排除无聊寂寞感，而且一路走一路拍，是一种最放松的全身运动，既锻炼了身体又培养了兴趣，让你对外面的世界充满好奇，保持旺盛的生命力和健康的心态。,/photo/shexiangji.jpg,,,,休闲1（周末）,,,
340,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,烹饪,陶性情，消抑郁，心愉悦，燃热情。,\t不但能充实生活，增长自己的菅养知识和烹饪技巧，还能为家人带来健康和美的享受。,/photo/pengren.jpg,,,,休闲2（周末）,,,
341,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,郊游,陶性情，消抑郁，心愉悦，燃热情。,\t出去走走看看，在欣赏大自然的美景的同时，用相机记录下来，不仅陶冶情操，愉悦心情，更重要的是从中开阔了视野和锻炼了身体，得到艺术和健康双丰收。,/photo/jiaoyou.jpg,,,,休闲1（周末）,,,
342,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,跳舞,陶性情，消抑郁，心愉悦，燃热情。,\t轻松的舞步，矫健的动作，愉快的音乐，能使人心旷神怡，也是一种美的享受。,/photo/tiaowu.jpg,,,,休闲3,,,
343,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,读书,培兴趣，陶怡情，消抑郁，心愉悦。,\t读书能增长知识，陶冶性情，找到精神寄托。悉心捧读一本好书，自可领略书中深邃的意境，实属妙不可言。医学专家认为无论阅读或朗诵，都有增强肺功能之效，且能活跃思维，是一种健身强脑的"良药"。,/photo/kanshu.jpg,,,,休闲4,,,
344,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,养宠物,培兴趣，陶怡情，消抑郁，心愉悦。,\t一项研究发现，饲养宠物对老人的身心健康非常有益，而且许多家中养有宠物的人，比不养宠物的人要健康许多，上医院看病的次数也更少，养宠物还可以提高老人的生活能力。,/photo/chongwu.jpg,,,,休闲1,,,
345,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,垂钓,培兴趣，陶怡情，消抑郁，心愉悦。,\t垂钓时，意识完全潜没在鱼漂的一抖一动的意境之中。这时，人的心跳搏动最正常，血压最稳定。只有一小部分的脑神经在运动，大部分脑神经则得到充分休息。这就起到了调节、放松、消除疲劳的作用。,/photo/chuidiao.jpg,,,,休闲2（周末）,,,
346,,精神,孤独感,\t约上有几个知心朋友，大家聚一聚，一壶清茶、一杯咖啡，谈谈自己的最近生活和变化。,会旧友,会旧友，谈变化，心减负，得感悟。,\t和旧友会面，聊聊天，说说各自的变化，给心灵来个“减负”，有时还会从交流中得到不少人生感悟。,/photo/huijiuyou.jpg,,,,休闲1（周末）,,,
347,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,赏画,培兴趣，使充实，消抑郁，愉身心。,\t赏画除了能开阔心胸和眼界、调节心情、减少烦躁和焦虑外，还可通过欣赏绘画作品的特点和画技，增强人大脑的活跃度，起到一定预防痴呆的作用。,/photo/huazhan.jpg,,,,休闲1,,,
348,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,练书法,培兴趣，使充实，消抑郁，愉身心。,\t练习书法过程中，陶冶性情的同时还能锻炼身体。当完成一幅满意的作品，会产生一种成功喜悦之感，有益身心健康。,/photo/lianshufa.jpg,,,,休闲3,,,
349,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,绘画,培兴趣，使充实，消抑郁，愉身心。,\t书画是一种高尚的爱好和兴趣，它们都有着形象美、情境美和笔端墨趣，可供欣赏和享受。它可以陶冶人的感情，可以使人的业余时间、老年生活更允实，更有意义。,/photo/huihua.jpg,,,,休闲2（周末）,,,
350,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,插花,培兴趣，使充实，消抑郁，愉身心。,\t插花是一种很好的修身养性之道，插花时讲究心平气和，神态专注，举止文明、优雅， 提高精神文化素质和艺术修养、陶冶情操的同时，还可美化生活，增加情趣。,/photo/chahua.jpg,,,,休闲1,,,
351,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,涂鸦,培兴趣，使充实，消抑郁，愉身心。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,,,,休闲4,,,
352,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,摄影,培兴趣，使充实，消抑郁，愉身心。,\t摄影一种最放松的全身运动，既锻炼了身体又培养了兴趣，让你对外面的世界充满好奇，保持旺盛的生命力。,/photo/shexiangji.jpg,,,,休闲1（周末）,,,
353,,精神,空虚感,\t出去走走看看，在欣赏大自然的美景的同时，用相机记录下来，不仅陶冶情操，愉悦心情，更重要的是从中开阔了视野和锻炼了身体，得到艺术和健康双丰收。,郊游,出门游，赏美景，身健康，心愉悦。,\t在大自然的怀抱里享受自然的山水风光，领略自然界的美景，必然能更加心胸阔，舒畅坦荡，身体健康，延年益寿。,/photo/jiaoyou.jpg,,,,休闲1（周末）,,,
354,,精神,空虚感,\t出去走走看看，在欣赏大自然的美景的同时，用相机记录下来，不仅陶冶情操，愉悦心情，更重要的是从中开阔了视野和锻炼了身体，得到艺术和健康双丰收。,旅游,出门游，赏美景，身健康，心愉悦。,\t在大自然的怀抱里享受自然的山水风光，领略自然界的美景，必然能更加心胸阔，舒畅坦荡，身体健康，延年益寿。,/photo/lvyou.jpg,,,,休闲1（周末）,,,
355,,精神,空虚感,\t约上有几个知心朋友，大家聚一聚，一壶清茶、一杯咖啡，谈谈自己的最近生活和变化。,会旧友,会旧友，谈变化，心减负，得感悟。,\t和旧友会面，聊聊天，说说各自的变化，给心灵来个“减负”，有时还会从交流中得到不少人生感悟。,/photo/huijiuyou.jpg,,,,休闲1（周末）,,,
356,,精神,空虚感,\t读书可以说是最简单、消费最低的放松的方式，抛开所有烦恼，沉浸在书的世界，不仅可以放松身心，还可以使人增加知识和乐趣。,读书,常读书，获知识，增情趣，愉身心。,\t读书是填补空虚的良方。读书能使人找到解决问题的钥匙，使人从寂寞与空虚中解脱出来。读书越多，知识越丰富，生活也就越充实。,/photo/kanshu.jpg,,,,休闲4,,,
357,,精神,空虚感,\t在小院子中种植自己喜爱的瓜果蔬菜、花草树木或养些鸡鸭等，通过挖土、施肥、种植这类“中等强度”运动，不仅使全身肌肉在自然的环境中得到锻炼，而且使身心愉悦，重燃对生活的热情和信心。,养花草,种瓜果，养花草，轻锻炼，心愉悦。,\t花草是一种恬静、美好的生命，而且能净化空气，杀灭细菌，在养殖的过程中， 我们需要定期给他们浇浇水、剪剪枝、换换土，对我们人来说就是一套“韵律操”，对身心都有益。,/photo/yanghuacao.jpg,,,,休闲1,,,
358,,精神,空虚感,\t在小院子中种植自己喜爱的瓜果蔬菜、花草树木或养些鸡鸭等，通过挖土、施肥、种植这类“中等强度”运动，不仅使全身肌肉在自然的环境中得到锻炼，而且使身心愉悦，重燃对生活的热情和信心。, 做园艺,种瓜果，养花草，轻锻炼，心愉悦。,\t在安逸的花园中走动，可感受新鲜空气、温暖阳光，既能锻炼身体，预防骨质疏松、老年痴呆、糖尿病等疾病，还能调节情志，延年益寿。,/photo/yuanyi.jpg,,,,休闲2（周末）,,,
359,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,养花草,多参与，有趣事，乐享受，消抑郁。,\t当感到焦虑不安时，可以放下手头的工作和事情，给花草浇浇水、施施肥、剪剪枝，泥土的芬芳和花草的清香能缓解紧张和压力。,/photo/yanghuacao.jpg,,,,休闲1,,,
360,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,钓鱼,多参与，有趣事，乐享受，消抑郁。,\t垂钓时，意识完全潜没在鱼漂的一抖一动的意境之中。这时，人的心跳搏动最正常，血压最稳定。只有一小部分的脑神经在运动，大部分脑神经则得到充分休息。这就起到了调节、放松、消除疲劳的作用。,/photo/chuidiao.jpg,,,,休闲2（周末）,,,
361,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,绘画,多参与，有趣事，乐享受，消抑郁。,\t研究表明，人在绘画时心跳、血压、呼吸等生理活动降低，心理得到净化，负性情绪得以改善。,/photo/huihua.jpg,,,,休闲3,,,
362,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,跳舞,多参与，有趣事，乐享受，消抑郁。,\t跳舞时能量消耗至少为人处于安静状态下的3-4倍，轻松的舞步，矫健的动作，愉快的音乐，能使人心旷神怡，也是一种美的享受。,/photo/tiaowu.jpg,,,,休闲1,,,
363,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,看电影,多参与，有趣事，乐享受，消抑郁。,\t电影情节能牵动人的情绪，其中的情节可令人产生共鸣，甚至能帮助人解开心中的郁结，释放心中的负面情绪。,/photo/kandianying1.jpg,,,,休闲3,,,
364,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,欣赏书画,多参与，有趣事，乐享受，消抑郁。,"\t书画可以赏心悦目,给人以美的享受，令人在其中，心境也会随之得到一种超然与净化，使心情舒畅，达到养生的效果。",/photo/shuhua.jpg,,,,休闲4,,,
365,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,唱歌,多参与，有趣事，乐享受，消抑郁。,\t唱歌时，隔阂膜的活动可以调节空气的吸入和呼出量。心情焦虑、不安时，大声唱完一首歌，心情会得到平复，负性情绪也能得到释放。,/photo/changge11.jpg,,,,休闲1,,,
366,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,涂鸦,多参与，有趣事，乐享受，消抑郁。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,,,,休闲2,,,
367,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,阅读,多参与，有趣事，乐享受，消抑郁。,\t读书可以说是最简单、消费最低的放松的方式，抛开所有烦恼，沉浸在书的世界，不仅可以放松身心，还可以使人增加知识和乐趣。,/photo/kanshu.jpg,,,,休闲2,,,
368,,精神,焦虑感,\t熏香是休闲养生、陶冶情操的日常必备品。通过口鼻肺腑的呼吸，让药材的有效成分进入体内，随气血流通，循经络运化，提神醒脑，定气安神，解除疲劳，缓解压力，同时促进体内五脏六腑的调和，增强身体免疫力。,檀香,点香薰，活气血，减焦虑，缓压力。,\t提神醒脑，镇静安抚神经紧张及焦虑，有助于思考决策，余香醇醇。,/photo/tanxiang.jpeg,,,,休闲4,,,
369,,精神,焦虑感,\t熏香是休闲养生、陶冶情操的日常必备品。通过口鼻肺腑的呼吸，让药材的有效成分进入体内，随气血流通，循经络运化，提神醒脑，定气安神，解除疲劳，缓解压力，同时促进体内五脏六腑的调和，增强身体免疫力。,薰衣草,点香薰，活气血，减焦虑，缓压力。,\t净化，安抚心灵、使人镇静，帮助睡眠，治疗失眠。,/photo/xunyicao.jpeg,,,,休闲2,,,
370,,精神,焦虑感,\t微笑的时候，大脑中会释放具有阵痛作用的激素—内啡肽，即便不是发自内心的微笑，做出笑的表情同样能起到平缓情绪的效果。,开怀大笑,开怀笑，胸扩张，促循环，消紧张。,\t笑的过程中，人的胸肌得到扩张，胸部运动加强，呼吸均匀，有利于从呼吸道排泄废物，加快血液循环，自主神经功能得到调节，有助于驱散焦虑、紧张、忧愁等不良情绪。,/photo/daxiao.jpg,,,,休闲1,,,
371,,精神,抑郁感,\t微笑的时候，大脑中会释放具有阵痛作用的激素—内啡肽，即便不是发自内心的微笑，做出笑的表情同样能起到平缓情绪的效果。,开怀大笑,开怀笑，胸扩张，促循环，消抑郁。,\t笑的过程中，人的胸肌得到扩张，胸部运动加强，呼吸均匀，有利于从呼吸道排泄废物，加快血液循环，自主神经功能得到调节，有助于驱散焦虑、紧张、忧愁等不良情绪。,/photo/daxiao.jpg,,,,休闲1,,,
372,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,涂鸦,培兴趣，陶怡情，消抑郁，心愉悦。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,,,,休闲2,,,
373,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,唱歌,培兴趣，陶怡情，消抑郁，心愉悦。,\t唱歌时大脑释放的激素，能促进身心愉快，提高免疫能力，是最好的“保健药”。,/photo/changge11.jpg,,,,休闲3,,,
374,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,跳舞,培兴趣，陶怡情，消抑郁，心愉悦。,\t科学家发现，有氧舞蹈是摆脱沮丧情绪或其他负面情绪的最佳方式之一。人在沮丧时生理处于低活动状态，有氧舞蹈则可提升身体的活动量，打破沮丧或抑郁的循环，使身心重新处于协调的状态。,/photo/tiaowu.jpg,,,,休闲1,,,
375,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,练书法,培兴趣，陶怡情，消抑郁，心愉悦。,\t书法练习可降低心率和血压活动水平，缓解焦虑和烦躁情绪，使人获得安宁、平静的情绪。研究表明，练书法可改善人们对自我控制的信心，促进无助和抑郁情绪的转变。,/photo/lainshufa.jpg,,,,休闲3,,,
376,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,养花草,培兴趣，陶怡情，消抑郁，心愉悦。,\t花草是一种恬静、美好的生命，而且能净化空气，杀灭细菌，在养殖的过程中， 我们需要定期给他们浇浇水、剪剪枝、换换土，对我们来说就是一套“韵律操”，对身心都有益。,/photo/yanghuacao.jpg,,,,休闲1,,,
377,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,养宠物,培兴趣，陶怡情，消抑郁，心愉悦。,\t英国人类与动物关系研究专家、心理专家认为，人与动物亲密接触，具有惊人的安抚效应，有助于人体缓解自身压力。,/photo/chongwu.jpg,,,,休闲2,,,
378,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,看电影,培兴趣，陶怡情，消抑郁，心愉悦。,"\t人在心情不好的时候看喜剧电影,影片中的幽默的片段让人忘记忧郁，使自己融入其中，且幽默的语言和动作会让人笑出来，笑会使沮丧情绪消退。",/photo/kandianying1.jpg,,,,休闲3,,,
379,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,旅游,培兴趣，陶怡情，消抑郁，心愉悦。,\t在大自然的怀抱里享受自然的山水风光，领略自然界的美景，必然能使心胸开阔，舒畅坦荡。,/photo/lvyou.jpg,,,,休闲1（周末）,,,
380,,精神,抑郁感,\t情感波动主要是大脑控制的，专家表示在情绪低落的时候，理发是一个不错的选择。,理发,当理发，增血量，松身心，消郁闷。,"\t人坐在椅子上的时候，整体会比显出放松舒适的状态，加上在理发的时候，大脑的皮层会受到刺激，增加脑补的血液供应量，因此会改善郁闷的心情。
",/photo/lifa.jpg,,,,休闲2（周末）,,,
381,,精神,抑郁感,\t接受适当的阳光，有助于促进钙的吸收，对舒缓郁闷情绪具有很好的效果。,晒太阳,晒太阳，宜有时，促吸收，消沮丧。,\t在夏季，日照时间可选择上午9：00-10：00，下午3：00-5：00，其他季节可延迟到10：00以后。气温过高，超过30℃时，不宜做晒太阳。,/photo/shaitaiyuang.jpg,,,,休闲1（周末）,,,
382,,精神,抑郁感,\t熏香是休闲养生、陶冶情操的日常必备品。通过口鼻肺腑的呼吸，让药材的有效成分进入体内，随气血流通，循经络运化，提神醒脑，定气安神，解除疲劳，缓解压力，同时促进体内五脏六腑的调和，增强身体免疫力。,桂花,点香薰，活气血，消沮丧，缓压力。,\t消除沮丧情绪，使人产生美好的联想。,/photo/guihua.jpeg,,,,休闲4,,,
383,,精神,抑郁感,\t熏香是休闲养生、陶冶情操的日常必备品。通过口鼻肺腑的呼吸，让药材的有效成分进入体内，随气血流通，循经络运化，提神醒脑，定气安神，解除疲劳，缓解压力，同时促进体内五脏六腑的调和，增强身体免疫力。,香  茅,点香薰，活气血，消沮丧，缓压力。,\t提神醒脑，驱除沮丧，愉悦心情，减轻风湿头痛。提升身体活力。,/photo/xiangmao.jpeg,,,,休闲2,,,
384,,整体,减肥塑形,\t沐浴不但可清洁身体，还可促进全身细胞的新陈代谢，提高内分泌腺的机能，减肥消脂，亦可消除神经紧张和疲劳。,沐浴法,常沐浴，促代谢，消脂肪，除疲劳。,\t水温在4 2℃～43℃左右，从胸口以下都要泡在水里，直到发汗后走出浴缸：等身体干了之后，再入浴泡到发汗，再出来。一直重复做5次。依个人体质的不同，一个月约可瘦4千克左右。,/photo/muyu.jpg,,,,,,,休闲2（工作日）
385,,整体,减肥塑形,\t兴趣减肥法是在培养喜好的同时，达到修身养性、快乐减肥的效果。,唱歌,唱着歌，跳起舞，一边乐，一边瘦。,\t减肥专家经研究发现，一个人唱完一首歌后的氧气消耗量和跑完一百米后的氧气消耗量相当，也就是说唱一首歌等于跑了一百米。而且唱歌时，隔阂膜的活动可以调节空气的吸入和呼出量，是平静情绪的好方法。,/photo/changge1.jpg,,,,,,,休闲1
386,,整体,减肥塑形,\t兴趣减肥法是在培养自己喜好的同时，达到修身养性、快乐减肥的效果。,跳舞,唱着歌，跳起舞，一边乐，一边瘦。,\t跳舞时能量消耗至少为人处于安静状态下的3-4倍，轻松的舞步，矫健的动作，愉快的音乐，能使人心旷神怡，也是一种美的享受。,/photo/tiaowu.jpg,,,,,,,休闲3
387,,整体,减肥塑形,\t专家认为开怀大笑1分钟相当于运动45分钟。,大笑,"开怀笑，同运动，
减脂肪，精神悦。",\t坚持每天纵情大笑1-2分钟，能起到意想不到的减肥效果。,/photo/weixiao.jpg,,,,,,,休闲1
388,,整体,减肥塑形,\t吹气球法利用吸气和吹气，使胃产生饱足感，从而抑制大脑中的饥饿中枢，降低食欲，减少食物的摄入，以达到减肥的目的。吹气时，胸、腹、膈肌等处的肌肉都会参与运动，增加热量的消耗，从而减少脂肪的堆积,吹气球,吹气球，降食欲，消热量，减脂肪。,\t每天向气球里吹气，坚持一个月体重就会显著地下降。该法在饭前1小时进行效果较好。,/photo/chuiqiqiu.jpg,,,,,,,休闲2（周末）
389,,整体,减肥塑形,\t休闲运动可调整中枢神经系统功能，增强新陈代谢，强身健体，纤体塑形，愉悦心情。,逛街,促代谢，强身体，塑纤体，愉情绪。,\t逛街是一种很好的有氧运动，即让你在你不知不觉中锻炼了身体，减肥消脂，又愉悦了心情。,/photo/guangjie.jpg,,,,,,,休闲3
390,,整体,减肥塑形,\t休闲运动可调整中枢神经系统功能，增强新陈代谢，强身健体，纤体塑形，愉悦心情。,滑冰,促代谢，强身体，塑纤体，愉情绪。,\t滑冰消耗的卡路里几乎和慢跑相等，能有效控制体重，塑造体形，还可以缓解压力，延缓衰老。,/photo/liubing.jpg,,,,,,,休闲2（周末）
391,,整体,减肥塑形,\t休闲运动可调整中枢神经系统功能，增强新陈代谢，强身健体，纤体塑形，愉悦心情。,打拳,促代谢，强身体，塑纤体，愉情绪。,\t打拳能迅速燃烧脂肪（平均每小时能消耗700卡路里），可以促进血液循环及新陈代谢，增加身体的柔软度及舒缓压力，还能增强胆量，勇气和自信。,/photo/daquan.jpg,,,,,,,休闲1
392,,整体,减肥塑形,\t休闲运动可调整中枢神经系统功能，增强新陈代谢，强身健体，纤体塑形，愉悦心情。,跳绳,促代谢，强身体，塑纤体，愉情绪。,\t研究发现，和一般运动相比，相同时间内跳绳消耗的热量要远大于慢跑、散步、打球等，是很好的减肥塑形方法，而且对增强肺活量、免疫力，缓解颈椎腰椎酸痛很有效果。,/photo/tiaosheng.jpg,,,,,,,休闲3
393,,整体,减肥塑形,\t休闲运动可调整中枢神经系统功能，增强新陈代谢，强身健体，纤体塑形，愉悦心情。,做家务,促代谢，强身体，塑纤体，愉情绪。,\t花些时间打扫或整理房间，花费一定的体力和心思，不仅给人一种耳目一新的感觉，还可以消耗大量热量，轻松甩掉脂肪。,/photo/zuojiawu.jpg,,,,,,,休闲1
394,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,郊游,消紧张，缓压力，松身心，生乌发。,\t在大自然的怀抱里享受自然的山水风光，领略自然界的美景，必然能使心胸开阔，舒畅坦荡。,/photo/jiaoyou.jpg,,,,,,,休闲1（周末）
395,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,垂钓,消紧张，缓压力，松身心，生乌发。,\t垂钓时，意识完全潜没在鱼漂的一抖一动的意境之中。这时，人的心跳搏动最正常，血压最稳定。只有一小部分的脑神经在运动，大部分脑神经则得到充分休息。这就起到了调节、放松、消除疲劳的作用。,/photo/chuidiao.jpg,,,,,,,休闲2（周末）
396,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,唱歌,消紧张，缓压力，松身心，生乌发。,\t唱歌、唱戏时大脑释放的激素，能促进身心愉快，提高免疫能力，是最好的“保健药”。,/photo/changge11.jpg,,,,,,,休闲3
