序号,人群,部位,自修项目,方法分类,方法名称,原料,制作方法,使用方法,
232,,皮肤,皮肤干裂,外用偏方,人参杏仁方,人参精5滴，杏仁油5克，琥珀酸（丁二酸）微量。,上方混合，加50克凉开水，再加适量江米粉调制成糊状。,\t涂敷于皮肤，30分钟后用温水洗去。每周1～2次。,
233,,皮肤,皮肤干裂,外用偏方,合面脂炼脂方,肥大猪脂。,以12月买极大猪脂，水渍7～8日，旦易水煎，取清脂投入水中。,\t每日涂于皮肤。,
234,,皮肤,皮肤干裂,外用偏方,面上皱裂方,桃仁适量。,研为末，合猪脂熬数次。,\t晚上睡前涂抹皮肤。,
235,,皮肤,皮肤干裂,外用偏方,丝瓜美容,丝瓜水。,把正在生长的丝瓜茎高于地面60厘米处拦腰切断。将上面的藤蔓去弃，使茎切口朝下，然后用一个玻璃瓶子把瓶口套在丝瓜茎的切口上，为了避免渗入雨水或虫子钻进去，瓶嘴要用铝薄片包起来，还要把瓶子在土中埋藏半截，不使瓶子倾倒，也便于丝瓜水畅通流进瓶中。为了多采汁液，必须选择丝瓜尚未成熟的时候进行。将采得的丝瓜水要放置一夜。,\t用纱布过滤后就可直接擦用,
236,,皮肤,皮肤干裂,外用偏方,豆苗汁,豆苗。,豆苗压出的汁涂在皮肤上，留存15分钟左右，然后用温水洗净，再涂上一层润肤霜。,\t将每日一次，坚持使用数日。,
237,,皮肤,皮肤暗黄,外用偏方,稣梨美容方,梨子。,梨子去核后捣烂，加适量天然乳酪混合成糊状物。,\t用之敷于皮肤，保持15～20分钟，用清水把皮肤洗净。适用于中、油性皮肤。,
238,,皮肤,皮肤暗黄,外用偏方,蒌杏涂药,瓜蒌实100克，杏仁50克。,上药共研细粉。,\t以生猪油调涂。,
239,,皮肤,皮肤暗黄,外用偏方,大蒜美容水,大蒜适量。,取生大蒜头压榨取汁，其汁密封存放在冰箱中一周。将食用植物油掺入该大蒜汁中，再在冰箱中存放一个半月，然后从此混合物中收集大蒜汁，即可得到脱臭大蒜汁。取脱臭大蒜汁0.5～1份，加入5份甘油、1份硼砂、10份纯化工业酒精和80份纯化水，充分搅拌均匀，静置一周后过滤，即可得到大蒜美容水。,\t每日取适量涂面。,
240,,皮肤,皮肤暗黄,外用偏方,黑丑草果白果方,黑丑、草果、白果各等份。,上三味共研粉状过筛（120目），再用淘米水浸渍15小时，之后用此水充分洗脸，并擦一薄层鸡蛋清，5分钟后洗去，再涂一层营养霜。,\t每晚睡觉前进行一次。,
241,,皮肤,皮肤暗黄,外用偏方,果蔬面膜,新鲜果蔬（如苹果、柠檬、黄瓜、番茄等）一种或几种。,取新鲜果蔬一种或几种，洗净后捣碎取汁，加入适量的表粉，用洁净水调成浆状。,\t把这种果蔬汁制成的面膜均匀地涂敷于面部，15～20分钟后用清水洗净，然后涂上一层营养霜，每日1～2次。,
242,,皮肤,皮肤暗黄,外用偏方,牛奶面膜,牛奶、小麦面粉适量。,取新鲜牛奶加入少量小麦面粉，搅成糊状。,\t均匀涂敷面部，15～20分钟后，用清水洗净，每周1～2次。,
243,,皮肤,皮肤暗黄,外用偏方,冬瓜洗面药,冬瓜。,冬瓜一个，用竹刀去青皮切片，酒1.5升，水1升，同煮烂用竹绵滤去滓，过滤去滓熬膏，入蜜500克，再熬稀稠适中，过滤。,\t每取栗子大用津液调涂面上手擦。,
244,,皮肤,皮肤暗黄,外用偏方,蛋白柠檬护容剂,鸡蛋清、柠檬汁。,每剂鸡蛋清一个，柠檬汁1汤匙。混合均匀。,\t涂面部，15分钟后以温水洗去。,
245,,皮肤,皮肤暗黄,外用偏方,白面蛋子膜,鸡蛋3个，酒适量。,鸡蛋酒浸28日，密封。,\t每夜以蛋白敷面，久久自白。,
246,,皮肤,皮肤暗黄,外用偏方,羊胫骨增白方,羊胫骨髓100克，鸡子白2枚。,羊胫骨髓与鸡子白和匀。,\t每夜敷之，二三日面白皮嫩。,
248,,胸部,平胸,按摩疗法,双掌推运乳房,,,\t一手掌面托起同侧乳房的底部，另一手掌面放在另一侧乳房的上部，然后双手掌相对向乳沟方向合力推运10次。,
249,,胸部,平胸,按摩疗法,按揉膻中,,,\t用食指与中指指腹叠加按揉膻中穴20~30次，手法由轻至重。,
250,,胸部,平胸,按摩疗法,按揉乳根,,,\t用食指和中指指腹叠加按揉两侧乳根穴20~30次。,
251,,胸部,平胸,按摩疗法,按揉天池,,,\t用中指指腹按揉两侧天池穴各20~30次。,
252,,胸部,平胸,按摩疗法,按揉膺窗,,,\t用中指指腹按揉两侧膺窗穴各20~30次。,
253,,精神,精气神,食疗药膳,仙芪茶,生黄芪10克、仙鹤草20克，水500毫升。,浸泡1小时，煮开20分钟后取汁。,"\t1、辰时(上午7—9点) 1次饮完。
\n\t2、连服1个月气虚症状可明显改善。",
254,,精神,精气神,食疗药膳,保元茶,党参6克、炙黄芪10克、生甘草2克、肉桂1克，水300毫升。,烧开后小火煎10分钟。,"\t1、最佳饮用时间：酉时(下午5～7点)。
\n\t2、晚饭前半小时饮用，每日1剂。
\n\t3、适宜于四肢不温、夜尿频多、倦怠乏力、大便溏泄的阳虚体质老人。如坚持每天饮用，3个月后畏寒减轻、尿频减少、精力充沛。\n\t4、健康的中老年朋友可隔日饮用1剂。",
255,,精神,精气神,食疗药膳,三才茶,天门冬9克、生地黄9克、人参6克，水800毫升。,浓煎至400毫升。,"\t1、分2次温服，每日1剂。
2、适合精气不足阴虚者长期服用，一般1个月后便会感觉口中津液源源不断、身体清爽。（精气不足阴虚者，其表现为口干舌燥、盗汗潮热、身体消瘦、手足汗多、失眠心烦、干咳少痰、大便干结）。",
256,,精神,精气神,食疗药膳,甘麦茶,炙甘草6克、淮小麦30克、大枣10枚。,将三味药放入保温杯中，冲入沸水，盖闷10~15分钟。,"\t1、最佳饮用时间：戌时(晚上7-9点)。
\n\t2、晚上睡前1小时饮用，并将大枣嚼服。
\n\t3、心烦者可加莲子心3克；脾气急躁易怒者可加合欢花10克；多梦者可加石菖蒲3克。
\n\t4、不宜同服浓茶、咖啡等有兴奋作用的饮料。一般连饮1个月后，改善睡眠作用明显。 ",
257,,精神,精气神,食疗药膳,小米绿豆粥,小米、绿豆各适量。,加适量水，熬粥。,\t每日服用。,
258,,精神,精气神,食疗药膳,地黄汤,地黄适量。,加适量水，熬汤。,\t每周2~3次服用。,
259,,精神,抑郁感,食疗药膳,萱草忘忧汤,合欢皮(花)15克，白茯苓12克，郁金10克，浮小麦30克，百合15克，金针菜30克，红枣(去核)六枚，猪瘦肉150克。,煲汤食肉。,"\t1、每周3次。
\n\t2、可连服1疗程，即2~4周。",
260,,精神,抑郁感,药用奇方,柴胡疏肝散加减,柴胡、芍药、枳壳、川芎、香附各9克，炙甘草3克。,水煎服，每日1剂。,"\t1、分2次温服。
\n\t2、加减：
\n\t1）胸闷、胁胀、嗳气，证属气机郁滞甚者，加郁金、青皮、佛手；
\n\t2）咽中有异物梗塞感，吐之不出，咽之不下，证属梅核气者，加瓜萎、海石、桔梗、玉蝴蝶；
\n\t3）头痛、烦躁、胁肋胀满，口干口苦，证属气郁化火者，加牡丹皮、栀子、黄连、竹茹；
\n\t4）精神恍惚，悲忧善哭，不能自主，证属脏躁者，加酸枣仁、茯神、生龙骨、生牡蛎。",
261,,精神,抑郁感,药用奇方,开郁老蔻丸,柴胡15克，青皮10克，木香10克，厚朴10克，肉豆蔻5克，肉桂5克，槟榔5克，白术10克，当归10克，三棱5克，莪术5克，山楂10克，莱菔子15克，神曲5克，甘草5克。,水煎服，每日1剂。,"\t1、分2次温服。
\n\t2、肝郁气滞偏重者(情绪不稳、胸闷腹胀、嗳气)加香附、郁金，减丁香；
\n\t3、久郁伤神偏重者(焦虑失眠)加夜交藤、珍珠母，减厚朴、肉桂、山楂。
\n\t4、肝气横逆犯脾、脾胃虚湿偏重者(不思饮食、倦怠疲乏、苔厚腻)加苍术，减白术。
\n\t5、2周为1个疗程。",
262,,精神,抑郁感,药用奇方,木郁达之-心肾不交 ,合欢花15克，郁金、炒白芍、当归、朱茯苓各10克，磁石20克，琥珀粉(冲)3克，生龙骨、生牡蛎各30克，黄连10克，肉桂3克，酸枣仁20克，夜交藤30克，胆南星6克，竹茹、炙甘草各6克。,5剂，水煎服。,\t每日1剂，分2次服。,
263,,精神,抑郁感,药用奇方,木郁达之-痰气郁结 ,柴胡10克，枳壳6克，炒白芍、当归、杏仁各10克，厚朴6克，旋覆花(包)10克，海浮石9克，枇杷叶10克，川贝6克，威灵仙12克，玄参20克，桔梗、炙甘草各6克。,5剂，水煎服。,\t每日1剂，分2次服。,
264,,精神,抑郁感,药用奇方,木郁达之- 脏躁 ,合欢花15克，郁金10克，炒白芍12克，当归10克，小麦、百合各30克，炒黄连4.5克，朱茯苓10克，磁石20克，杏仁、旋覆花(包)各10克，生龙骨、生牡蛎各30克，炒酸枣仁20克，炙甘草10克。,5剂，水煎服。,\t每日1剂，分2次服。,
265,,精神,抑郁感,药用奇方,木郁达之- 督脉郁火,生地黄10克，知母、黄柏各6克，肉桂1克，怀牛膝、栀子、青蒿各6克，合欢花15克，郁金、山药各10克，砂仁6克。,3剂，水煎服。,\t每日1剂，分3次服。,
266,,精神,抑郁感,药用奇方,祛郁汤,枇杷叶10克，郁金10克，泽兰10克，藕节15克。,水煎服，每日1剂。,"\t1、3～5剂为1个疗程。
\n\t2、兼有梅核气者加半夏厚朴汤；
\n\t3、气虚者加黄芪、党参；
\n\t4、食滞者加山楂、麦芽；
\n\t5、痰湿内盛者加二陈汤；
\n\t6、胸痛者加瓜萎薤白汤。",
267,,精神,抑郁感,药用奇方,消郁神安汤,柴胡18克，白芍15克，枣仁12克，茯苓10克，五味子12克，知母9克，当归12克，夜交藤15克。,水煎服，每日1剂。,"\t1、气郁加香附；
\n\t2、心神不宁者加生龙骨、生牡蛎。
\n\t3、1周为1个疗程，治疗1～3个疗程。",
268,,精神,抑郁感,药用奇方,小柴胡汤,柴胡10克，黄芩10克，党参10克，法半夏10克，川楝子10克，延胡索10克，厚朴10克，青皮、陈皮各10克，佛手18克，大腹皮10克，枳壳6克，五味子10克，麦门冬10克，天花粉30克，郁金10克。,水煎服，每日1剂。,\t1、肝郁化火加牡丹皮、栀子；\n\t2、气滞痰郁加四七汤化裁；\n\t3、心脾两虚加黄芪、白术、当归、茯神；\n\t4、阴虚火旺将党参改为太子参、沙参。\n\t5、每日1剂，水煎分2次服。,
269,,精神,抑郁感,药用奇方,甘麦大枣汤加味,法半夏15g，茯苓20g，胆南星10g，枳实10g，川贝母10g，海蛤粉10g，旋覆花10g，丹参10g，太子参15g，天冬10g，麦冬10g，郁金10g，甘草10g。,7剂，水煎服。,\t日1剂，分2次服。,
270,,精神,抑郁感,外用偏方,开膈膏,党参、白术、苍术、黄芪、茯苓、甘草、生地、熟地、当归、白芍、川芎、天冬、麦冬、黄连同吴萸炒、黄柏、知母、贝母、青皮、陈皮、半夏、胆星、乌药、香附、厚朴、枳实、桔梗、栝楼、连翘、红花、神曲、麦芽、山楂、槟榔、木通、苏子、草蔻仁、砂仁、木香、丁香、藿香、乳香、大黄、巴豆、黑丑、莪术、三棱、草乌、官桂、雄黄、明矾、郁金、牙皂各五钱，生姜二两，乌梅七个，凤仙子一钱。,油，丹熬。,\t贴。,
271,,精神,抑郁感,外用偏方,平肝顺气和中膏,苍术、香附各二两，陈皮、川芎、栀子、神曲、枳实、青皮、半夏、麦冬、吴萸、黄连、赤苓、砂仁、木香、山楂、干姜、甘草、苏子、萝卜子、白芥子各一两。,丹油熬。,"\t即越鞠加味也。
",
272,,精神,抑郁感,外用偏方,理气膏,党参、黄芪、苍术、白术、蓬术、香附、柴胡、青皮、陈皮、枳实、南星、半夏、厚朴、槟榔、山楂、草果、羌活、防风、前胡、苏子、杏仁、乌药、郁金、川芎、当归、白芍、黄芩、黄连、黄柏、栀子、葶苈、桔梗、桑皮、吴萸、栝楼、白芷、麦芽、木通、泽泻、赤苓、延胡、灵脂、大黄、黑丑、官桂、草乌、红花、菖蒲、皂角、木鳖仁、僵蚕、全蝎、山甲、白芥子、萝卜子、川楝子、川椒、细辛、木香、藿香、茴香、灵仙、乳香、没药、巴仁、甘草各一两。,油熬、丹收。入牛胶二两，苏合丸三钱搅。另：姜、葱、韭、蒜、槐、柳、桃、桑枝各半两，凤仙全株。油熬、丹收。入薄荷油二钱。,\t两膏合并摊贴。,
273,,,,,,,,,
274,,,,,,,,,
275,,精神,自卑感,药用奇方,黄精膏,黄精500克，蜂蜜250克。,\t黄精煮烂调入蜂蜜收膏。,\t每日早晚各服1次，每次1汤匙，用开水冲服或隔水炖热后服用。,
276,,精神,自卑感,食疗药膳,五味猪肝,当归10克，白芍10克，柴胡10克，吴茱萸6克，熟地10克，猪肝1副。,\t猪肝汆烫后切片，加入所有食材和适量水，小火慢炖30分钟后，调味即可。,\t每日服用1次。,
277,,精神,自卑感,认知干预,重新归因法,,,\t对自己的非现实性假设作严格的逻辑批判，从而作出对挫折和失败更为客观现实的归因。而通过“认知重建”则可以学会如何正确地使用思维工具来代替非逻辑的认知，从而克服负性自动想法。 ,
278,,精神,自卑感,认知干预,语义分析技术,,,\t通过语义分析与转换把代表他深层的错误观念的无意义的句子转变成具体的、有特定意义的句子，学会把“我”分解成一些特定的事件和行为，并在一定的社会参照下来评价它们，学会依据较为客观的标准来看待自己的问题，从而能够用对具体事件的评价来代替对自我的整体性评价，对自己的不适应行为以及这些行为以外的其他行为有更为客观的认识。 ,
279,,精神,自卑感,认知干预,灾变祛除法,,,\t通过严密的逻辑分析认识到自己对事物的不良后果的可能性估计过高，过分夸大灾难性后果，从而祛除这种夸张性的认知。,
280,,精神,孤独感,团体辅导,团体回忆治疗,,,\t团体回忆治疗通常是在团体活动或团体环境中进行，以口头回忆或无声回忆的方式对过往快乐或不快乐的事件进行回忆，通过回忆使大家产生共鸣，以更好的促进小组成员之间的互动，使他们产生归属感和凝聚力，并在活动中产生快乐，以减轻不愉快的体验。,
281,,精神,孤独感,行为治疗,角色扮演,,,\t角色扮演是自己扮演某一特定的角色，模仿现实生活情境，以戏剧演出的形式宣泄和释放压抑着的情感，从而达到排除负性心理的目的。,
282,,精神,孤独感,行为治疗,社会技能训练,,,\t使用学习理论的特殊原理促进人际交往所需技巧的发展与掌握，如学习与人目光接触、聆听态度，姿势训练、打招呼、答与问、自我表达等，反复练习，以提高社交能力，以建立良好的人际关系，减少孤独感。,
283,,精神,空虚感,团体辅导,团体回忆治疗,,,\t团体回忆治疗通常是在团体活动或团体环境中进行，以口头回忆或无声回忆的方式对过往快乐或不快乐的事件进行回忆，通过回忆使大家产生共鸣，以更好的促进小组成员之间的互动，使他们产生归属感和凝聚力，并在活动中产生快乐，以减轻不愉快的体验。,
284,,精神,焦虑感,药用奇方,百合根水,百合根7个，鸡蛋2个。,\t用水浸泡一晚上，然后倒入两杯水，熬煮至水变成一杯，倒入蛋黄煮熟。,\t每日1次服用。,
285,,精神,焦虑感,药用奇方,白茯神水,白茯神12克。,\t倒入700ml水熬煮。,\t每日1杯。,
286,,精神,焦虑感,药用奇方,紫苏叶汤,10张紫苏叶。,\t加水熬汤。,\t每周3-5次。,
287,,精神,焦虑感,食疗药膳,莲藕汁,新鲜莲藕。,\t洗净、脱皮、磨碎，最后用纱布挤汁。,\t按每千克体重10毫升的量饮用，每日1次。,
288,,精神,焦虑感,认知干预,系统脱敏疗法,,,\t系统脱敏疗法是诱导求治者缓慢地暴露出导致焦虑的情境中，并通过心理的放松状态来对抗这种焦虑情绪，从而达到消除焦虑的目的。,
289,,精神,衰老感,药用奇方,人参莲肉汤,白人参10克，莲子10枚，冰糖30克。,\t（1）将白人参、莲子（去心）放在碗内，加水发泡，再加入冰糖。\t（2）将盛药物的碗置于蒸锅内，隔水蒸炖1小时。\t（3）食用时，喝汤吃肉。\t（4）人参连续使用3次，到第三次时连同人参一起吃下。,\t每日1次服用。,
290,,精神,衰老感,药用奇方,延寿膏,天冬、远志、巴戟肉、山药、柏子仁、泽泻、熟地、川椒、生地、杞子、茯苓、复盆子、赤石脂、车前子、杜仲、吐丝子、牛膝、苁蓉各30克，当归、地骨皮、五味子各15克。,\t水煎3次，浓缩加入人参粉30克，蜂蜜250克，调匀收膏。,\t每日早晚各服1次，每次1汤匙，用开水冲服或隔水炖热后服用。,
291,,精神,衰老感,食疗药膳,鹌鹑肉片,鹌鹑肉100克，冬笋10克，水发口蘑5克，黄瓜15克，鸡蛋清半个，酱油、料酒、花椒水、精盐、水豆粉、味精、清汤适量。,\t（1）鹌鹑肉切片，用蛋清、水豆粉搅匀，冬笋、口蘑、黄瓜切片。\t（2）鹌鹑炒熟，加入清汤、调料、素菜，盛入碗内即成。,\t每周3-5次。,
292,,精神,衰老感,食疗药膳,人参黄芪粥,人参5克，粳米80克，白术10克，黄芪20克，白糖5克。,\t将人参、黄芪、白术去净灰渣，加工成薄片，用清水浸泡40分钟，放入砂锅，加水煎开改用小火慢煎成浓汁，取出药汁后，再加水煎开后取汁。,\t早晚各食1次。,
293,,精神,衰老感,食疗药膳,人参粥,人参粉3克，粳米100克，冰糖适量。,"\t（1）将粳米淘净，放砂锅(或铝锅)内，人参粉(或片)放入
锅中，加水适量。\t（2）将锅置大火上烧开，移小火上煎熬至熟。\t（3）将冰糖放入锅中，加水适量，熬汁。待粥熟后，徐徐加入冰糖汁，搅匀即成。",\t食用时，当饭吃，吃饱，常服有效。,
